user_id,rank,original_title,normalized_title,label,in_test_set,in_movie_lens,test_titles_clean
571,1,Night of the Demons (1988),nightofdemons,not_in_dataset,False,False,pumpkinhead; amityvilleiipossession; howlingiiyoursisteriswerewolf; finalconflictkomeniiifinalconflict; hellnight; friday13thpartviinewblood; childsplay3; ragecarrie2; draculadeadandlovingit; friday13thpartvnewbeginning; friday13thpartvijasonlives; childsplay2; amityville3d; friday13thpartviiijasontakesmanhattan; houseiisecondstory; deadlyfriend; amityvilledollhouse; maximumoverdrive; amityville1992itsabouttime; amityvillenewgeneration; amityvillecurse; exorcistiiheretic; guardian
571,2,Sleepaway Camp (1983),sleepawaycamp,in_dataset,False,True,pumpkinhead; amityvilleiipossession; howlingiiyoursisteriswerewolf; finalconflictkomeniiifinalconflict; hellnight; friday13thpartviinewblood; childsplay3; ragecarrie2; draculadeadandlovingit; friday13thpartvnewbeginning; friday13thpartvijasonlives; childsplay2; amityville3d; friday13thpartviiijasontakesmanhattan; houseiisecondstory; deadlyfriend; amityvilledollhouse; maximumoverdrive; amityville1992itsabouttime; amityvillenewgeneration; amityvillecurse; exorcistiiheretic; guardian
571,3,The Gate (1987),gate,in_dataset,False,True,pumpkinhead; amityvilleiipossession; howlingiiyoursisteriswerewolf; finalconflictkomeniiifinalconflict; hellnight; friday13thpartviinewblood; childsplay3; ragecarrie2; draculadeadandlovingit; friday13thpartvnewbeginning; friday13thpartvijasonlives; childsplay2; amityville3d; friday13thpartviiijasontakesmanhattan; houseiisecondstory; deadlyfriend; amityvilledollhouse; maximumoverdrive; amityville1992itsabouttime; amityvillenewgeneration; amityvillecurse; exorcistiiheretic; guardian
571,4,House (1986),house,in_dataset,False,True,pumpkinhead; amityvilleiipossession; howlingiiyoursisteriswerewolf; finalconflictkomeniiifinalconflict; hellnight; friday13thpartviinewblood; childsplay3; ragecarrie2; draculadeadandlovingit; friday13thpartvnewbeginning; friday13thpartvijasonlives; childsplay2; amityville3d; friday13thpartviiijasontakesmanhattan; houseiisecondstory; deadlyfriend; amityvilledollhouse; maximumoverdrive; amityville1992itsabouttime; amityvillenewgeneration; amityvillecurse; exorcistiiheretic; guardian
571,5,The Return of the Living Dead (1985),returnoflivingdead,in_dataset,False,True,pumpkinhead; amityvilleiipossession; howlingiiyoursisteriswerewolf; finalconflictkomeniiifinalconflict; hellnight; friday13thpartviinewblood; childsplay3; ragecarrie2; draculadeadandlovingit; friday13thpartvnewbeginning; friday13thpartvijasonlives; childsplay2; amityville3d; friday13thpartviiijasontakesmanhattan; houseiisecondstory; deadlyfriend; amityvilledollhouse; maximumoverdrive; amityville1992itsabouttime; amityvillenewgeneration; amityvillecurse; exorcistiiheretic; guardian
491,1,The Hangover,hangover,in_dataset,False,True,bridesmaids; sisteract; friendswithbenefits; whatwomenwant; meetfockers; wolfofwallstreet; focus; drdolittle; gifted; intern; nottinghill; misscongeniality; spanglish
491,2,Paul Blart: Mall Cop,paulblartmallcop,in_dataset,False,True,bridesmaids; sisteract; friendswithbenefits; whatwomenwant; meetfockers; wolfofwallstreet; focus; drdolittle; gifted; intern; nottinghill; misscongeniality; spanglish
491,3,The Proposal,proposal,in_dataset,False,True,bridesmaids; sisteract; friendswithbenefits; whatwomenwant; meetfockers; wolfofwallstreet; focus; drdolittle; gifted; intern; nottinghill; misscongeniality; spanglish
491,4,Crazy,crazy,not_in_dataset,False,False,bridesmaids; sisteract; friendswithbenefits; whatwomenwant; meetfockers; wolfofwallstreet; focus; drdolittle; gifted; intern; nottinghill; misscongeniality; spanglish
491,5,Stupid,stupid,not_in_dataset,False,False,bridesmaids; sisteract; friendswithbenefits; whatwomenwant; meetfockers; wolfofwallstreet; focus; drdolittle; gifted; intern; nottinghill; misscongeniality; spanglish
